nombre|iso
Español,es
Inglés,en
Portugués,pt
Francés,fr
Chino,zh
Árabe,ar
Alemán,de
Bengalí,bn
Coreano,ko
Hindi,hi
Italiano,it
Japonés,ja
Ruso,ru
